,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI
CN(C)CC(=O)O,-0.21846,0.306218,-0.093827,0.106196,-0.106196,0.400046,2.499715,0.014095,0.116738,-0.059664,0.075802,0.01371186,-0.02578042,0.0014207,0.00016672,0.00032423,0.00049095,0.22426612,0.47532709,364.52491,164.7151,0.42878928,0.00208001,-0.7347551,0.053912,0.0,0.0,3.754782,9.360071,931.34669,0.8712,529.38383,8.735,5.965,5.049,-0.21846,0.005876,0.224337,40.18,22.35
CC(=O)CCC(C)=O,-0.252417,0.329331,-0.050865,0.139233,-0.139233,0.380196,2.630224,0.025494,0.082781,-0.05448,0.028279,0.01725888,-0.03084072,0.00354287,4.728e-05,0.00028283,0.0003301,0.12270627,0.57502708,436.82378,174.25405,0.43927002,0.00069153,-0.7166918,0.053174,-0.0033835,2.1e-05,3.651805,10.309708,1075.77562,0.8307,611.22934,10.536,5.669,4.17,-0.252417,-0.021446,0.230971,18.54,13.23
O=C1CCCCC1,-0.240711,0.331428,-0.0702,0.130614,-0.130614,0.401628,2.489865,0.021239,0.094487,-0.061019,0.024702,0.01400329,-0.03470505,0.00429448,2.363e-05,0.00039035,0.00041398,0.0538216,0.4933336,420.88421,104.77776,0.42969792,0.00068815,-0.7067012,0.045276,-0.0016124,1e-05,4.020155,8.491246,951.57373,0.8898,525.79599,7.634,6.726,5.296,-0.240711,-0.015464,0.225247,26.62,18.7
O=C1CCCC1,-0.242726,0.336456,-0.064581,0.135937,-0.135937,0.401037,2.493538,0.023039,0.092472,-0.05947,0.028391,0.01481663,-0.03458743,0.00405379,2.608e-05,0.00035797,0.00038405,0.06329527,0.520384,366.73449,102.14751,0.43383466,0.00065698,-0.7047693,0.04653,-0.0027798,2e-05,3.600401,8.045921,807.7816,0.8943,469.00279,7.036,6.529,5.034,-0.242726,-0.021052,0.221675,27.49,12.66
O=C1CCC(c2ccccc2)CC1,-0.24246,0.308678,-0.04207,0.133304,-0.133304,0.350747,2.851055,0.025332,0.092738,-0.059882,0.030859,0.01422187,-0.0206163,0.00382191,4.119e-05,0.00031766,0.00035885,0.10160459,0.43894,561.27712,238.85784,0.41795599,0.00150234,-0.7299544,0.034271,-0.0032664,1.5e-05,4.145802,11.892398,1605.31754,0.8284,800.31443,11.973,6.772,6.166,-0.24246,-0.018855,0.223605,26.39,15.43
CC(C)=O,-0.249917,0.351533,-0.077782,0.136875,-0.136875,0.429315,2.32929,0.02182,0.085281,-0.058879,0.029895,0.01676312,-0.0340488,0.00349412,5.989e-05,0.00035021,0.0004101,0.12470392,0.57897912,281.91629,99.63923,0.43768808,0.00063763,-0.6828075,0.052072,-0.0024401,1.4e-05,3.336815,6.76872,602.89377,0.9043,381.65848,6.703,5.387,4.171,-0.249917,-0.016421,0.233495,32.86,26.57
CCC(C)=O,-0.249694,0.346774,-0.075679,0.135548,-0.135548,0.422453,2.367125,0.021746,0.085504,-0.05862,0.028265,0.01427238,-0.02667206,0.00282893,6.074e-05,0.000418,0.00047874,0.11077134,0.48267363,327.83502,127.16736,0.43319437,0.00060396,-0.6778012,0.047953,-0.0018758,1e-05,3.457158,7.987978,756.13983,0.8819,455.12181,7.967,5.51,4.225,-0.249694,-0.01527,0.234423,30.99,25.22
CC(=O)c1ccccc1,-0.254408,0.33398,-0.010068,0.161956,-0.161956,0.344048,2.906572,0.038119,0.08079,-0.058652,0.031701,0.01499005,-0.01890162,0.00188532,6.015e-05,0.00029363,0.00035378,0.14110599,0.44905629,364.06601,229.51845,0.41995907,0.00164685,-0.7323394,0.033614,-0.0074624,8e-05,3.800646,9.577937,1100.47493,0.8682,593.7138,9.684,6.752,4.174,-0.254408,-0.062148,0.19226,30.76,14.87
CC1(C)C(=O)C(C)(C)C1=O,-0.237195,0.314269,-0.017638,0.148316,-0.148316,0.331907,3.012894,0.033138,0.098003,-0.048747,0.029716,0.01382622,-0.02901265,0.00309994,2.883e-05,0.00022019,0.00024902,0.10236692,0.4797014,515.82171,172.29527,0.43653452,0.00033554,-0.7197179,0.053376,-0.0036919,5.2e-05,4.334842,8.428933,1298.73614,0.8363,688.36411,7.674,7.55,6.773,-0.237195,-0.054728,0.182466,18.95,11.26
O=C(c1ccccc1)c1ccccc1,-0.251271,0.315285,0.009061,0.162173,-0.162173,0.306224,3.265588,0.042943,0.083927,-0.058246,0.025604,0.01340347,-0.01595599,0.00055982,5.141e-05,0.00022888,0.00028029,0.14977715,0.39511198,454.34424,353.32432,0.41162588,0.001891,-0.7490524,0.026767,-0.0084712,7.4e-05,3.47766,11.93565,1599.17017,0.8187,807.81524,12.032,7.529,4.733,-0.251271,-0.07078,0.180491,27.92,10.33
CC(=O)CC(C)=O,-0.257106,0.339997,-0.029722,0.155138,-0.155138,0.369719,2.704757,0.032549,0.078092,-0.050529,0.033333,0.01726223,-0.02941914,0.00322624,6.101e-05,0.00022689,0.0002879,0.16700109,0.5691949,369.34246,158.80003,0.44327056,0.00055385,-0.7242983,0.05362,-0.0050842,6.7e-05,2.918626,8.376071,922.5622,0.8675,528.29572,7.797,6.073,5.09,-0.257106,-0.049892,0.207215,20.0,14.47
CC(=O)C1CCCCC1=O,-0.250057,0.325643,-0.029144,0.148249,-0.148249,0.354787,2.818593,0.030973,0.085141,-0.053037,0.030703,0.01451056,-0.02847278,0.003472,3.933e-05,0.00026169,0.00030102,0.11357759,0.49242265,491.95199,169.99468,0.43616477,0.00061924,-0.7300794,0.048026,-0.003756,4.8e-05,4.047676,10.132104,1263.03092,0.8534,662.11108,9.438,7.125,5.922,-0.250057,-0.044971,0.205086,16.93,12.19
CC1(C)CCCC(C)(C)N1[O-],-0.188168,0.320488,-0.093452,0.113518,-0.113518,0.41394,2.415809,0.015565,0.14703,-0.059751,0.023006,0.01034643,-0.01816879,0.00216753,2.985e-05,0.00040855,0.00043841,0.0634585,0.34259365,523.70548,210.62495,0.41928444,0.00034996,-0.6778965,0.037283,-0.0010086,7e-06,3.943044,9.210619,1528.9741,0.8738,734.54562,9.048,7.901,6.482,-0.21269300000000002,-0.0020155,0.21067799999999998,24.92,6.57
