,r2_iad,r2_oad,coverage
"Z=0.5,k=1,metric=cityblock",0.684,-0.36,0.152
"Z=0.5,k=2,metric=cityblock",0.775,-0.342,0.124
"Z=0.5,k=3,metric=cityblock",0.807,-0.327,0.105
"Z=0.5,k=4,metric=cityblock",0.834,-0.323,0.094
"Z=0.5,k=5,metric=cityblock",0.847,-0.319,0.085
"Z=0.5,k=6,metric=cityblock",0.842,-0.313,0.081
"Z=0.5,k=7,metric=cityblock",0.837,-0.303,0.074
"Z=0.5,k=8,metric=cityblock",0.831,-0.294,0.07
"Z=0.5,k=9,metric=cityblock",0.818,-0.287,0.065
"Z=1.0,k=1,metric=cityblock",0.584,-0.402,0.204
"Z=1.0,k=2,metric=cityblock",0.636,-0.378,0.171
"Z=1.0,k=3,metric=cityblock",0.691,-0.365,0.149
"Z=1.0,k=4,metric=cityblock",0.727,-0.352,0.133
"Z=1.0,k=5,metric=cityblock",0.756,-0.349,0.124
"Z=1.0,k=6,metric=cityblock",0.766,-0.345,0.115
"Z=1.0,k=7,metric=cityblock",0.778,-0.341,0.11
"Z=1.0,k=8,metric=cityblock",0.787,-0.333,0.103
"Z=1.0,k=9,metric=cityblock",0.818,-0.331,0.097
"Z=1.5,k=1,metric=cityblock",0.393,-0.424,0.267
"Z=1.5,k=2,metric=cityblock",0.495,-0.415,0.232
"Z=1.5,k=3,metric=cityblock",0.531,-0.397,0.205
"Z=1.5,k=4,metric=cityblock",0.569,-0.391,0.187
"Z=1.5,k=5,metric=cityblock",0.628,-0.378,0.17
"Z=1.5,k=6,metric=cityblock",0.634,-0.372,0.159
"Z=1.5,k=7,metric=cityblock",0.649,-0.368,0.149
"Z=1.5,k=8,metric=cityblock",0.66,-0.366,0.144
"Z=1.5,k=9,metric=cityblock",0.673,-0.361,0.137
"Z=2.0,k=1,metric=cityblock",0.134,-0.406,0.362
"Z=2.0,k=2,metric=cityblock",0.223,-0.408,0.315
"Z=2.0,k=3,metric=cityblock",0.275,-0.394,0.28
"Z=2.0,k=4,metric=cityblock",0.372,-0.401,0.252
"Z=2.0,k=5,metric=cityblock",0.429,-0.403,0.237
"Z=2.0,k=6,metric=cityblock",0.455,-0.397,0.225
"Z=2.0,k=7,metric=cityblock",0.472,-0.39,0.209
"Z=2.0,k=8,metric=cityblock",0.494,-0.385,0.195
"Z=2.0,k=9,metric=cityblock",0.523,-0.377,0.185
"Z=2.5,k=1,metric=cityblock",0.03,-0.403,0.445
"Z=2.5,k=2,metric=cityblock",0.085,-0.41,0.403
"Z=2.5,k=3,metric=cityblock",0.136,-0.413,0.367
"Z=2.5,k=4,metric=cityblock",0.171,-0.411,0.343
"Z=2.5,k=5,metric=cityblock",0.182,-0.399,0.322
"Z=2.5,k=6,metric=cityblock",0.194,-0.389,0.303
"Z=2.5,k=7,metric=cityblock",0.243,-0.386,0.283
"Z=2.5,k=8,metric=cityblock",0.266,-0.386,0.273
"Z=2.5,k=9,metric=cityblock",0.279,-0.378,0.26
"Z=3.0,k=1,metric=cityblock",-0.052,-0.425,0.543
"Z=3.0,k=2,metric=cityblock",-0.009,-0.422,0.494
"Z=3.0,k=3,metric=cityblock",0.019,-0.416,0.461
"Z=3.0,k=4,metric=cityblock",0.048,-0.413,0.431
"Z=3.0,k=5,metric=cityblock",0.081,-0.421,0.41
"Z=3.0,k=6,metric=cityblock",0.097,-0.418,0.393
"Z=3.0,k=7,metric=cityblock",0.125,-0.424,0.377
"Z=3.0,k=8,metric=cityblock",0.15,-0.426,0.362
"Z=3.0,k=9,metric=cityblock",0.166,-0.426,0.351
"Z=3.5,k=1,metric=cityblock",-0.084,-0.469,0.629
"Z=3.5,k=2,metric=cityblock",-0.065,-0.466,0.598
"Z=3.5,k=3,metric=cityblock",-0.044,-0.458,0.564
"Z=3.5,k=4,metric=cityblock",-0.04,-0.436,0.538
"Z=3.5,k=5,metric=cityblock",-0.021,-0.434,0.513
"Z=3.5,k=6,metric=cityblock",-0.005,-0.429,0.491
"Z=3.5,k=7,metric=cityblock",0.017,-0.432,0.474
"Z=3.5,k=8,metric=cityblock",0.029,-0.422,0.456
"Z=3.5,k=9,metric=cityblock",0.048,-0.427,0.443
"Z=4.0,k=1,metric=cityblock",-0.094,-0.534,0.698
"Z=4.0,k=2,metric=cityblock",-0.091,-0.512,0.673
"Z=4.0,k=3,metric=cityblock",-0.088,-0.493,0.651
"Z=4.0,k=4,metric=cityblock",-0.075,-0.49,0.629
"Z=4.0,k=5,metric=cityblock",-0.06,-0.501,0.613
"Z=4.0,k=6,metric=cityblock",-0.057,-0.48,0.597
"Z=4.0,k=7,metric=cityblock",-0.03,-0.509,0.582
"Z=4.0,k=8,metric=cityblock",-0.018,-0.503,0.563
"Z=4.0,k=9,metric=cityblock",-0.021,-0.481,0.548
"Z=4.5,k=1,metric=cityblock",-0.1,-0.609,0.751
"Z=4.5,k=2,metric=cityblock",-0.102,-0.561,0.732
"Z=4.5,k=3,metric=cityblock",-0.105,-0.519,0.711
"Z=4.5,k=4,metric=cityblock",-0.102,-0.509,0.698
"Z=4.5,k=5,metric=cityblock",-0.094,-0.514,0.682
"Z=4.5,k=6,metric=cityblock",-0.086,-0.518,0.67
"Z=4.5,k=7,metric=cityblock",-0.081,-0.519,0.661
"Z=4.5,k=8,metric=cityblock",-0.072,-0.521,0.649
"Z=4.5,k=9,metric=cityblock",-0.064,-0.528,0.64
"Z=5.0,k=1,metric=cityblock",-0.102,-0.685,0.789
"Z=5.0,k=2,metric=cityblock",-0.102,-0.659,0.777
"Z=5.0,k=3,metric=cityblock",-0.102,-0.629,0.766
"Z=5.0,k=4,metric=cityblock",-0.106,-0.584,0.753
"Z=5.0,k=5,metric=cityblock",-0.107,-0.56,0.742
"Z=5.0,k=6,metric=cityblock",-0.108,-0.544,0.734
"Z=5.0,k=7,metric=cityblock",-0.106,-0.537,0.723
"Z=5.0,k=8,metric=cityblock",-0.106,-0.527,0.716
"Z=5.0,k=9,metric=cityblock",-0.104,-0.515,0.705
